DATE,LNU04032231,LNU04032232,LNU04032235,LNU04032236,LNU04032237,LNU04032238,LNU04032239,LNU04032240,LNU04032241
2008-01-01,11,5.1,5.4,4.4,5.1,3,6.4,2.9,9.4
2008-02-01,11.4,5,4.9,4.6,5.8,3.4,6.2,2.9,8.5
2008-03-01,12,5,4.9,4.3,4.8,3.4,6.2,3.1,7.6
2008-04-01,11.1,4.8,4.5,4,4.4,3.4,5.3,2.8,6.9
2008-05-01,8.6,5.3,5.2,4.3,5,3.7,5.9,3.2,8.4
2008-06-01,8.2,5.2,5.7,5.1,4.7,3.4,6.2,3.4,8.9
2008-07-01,8,5.5,6.5,5.7,4.1,3.6,6.1,3.9,8.8
2008-08-01,8.2,5.7,6.6,5.2,4.2,4.2,6.9,4.3,8.7
2008-09-01,9.9,6,6.2,5.8,5,4,6.9,4.1,8.2
2008-10-01,10.8,6.2,6.3,5.7,5,4.5,7.5,3.9,8.9
2008-11-01,12.7,7,6.7,5.8,5.2,5.2,7,3.6,9.9
2008-12-01,15.3,8.3,7.2,6.7,6.9,5.6,8.1,3.8,9.5
2009-01-01,18.2,10.9,8.7,8.4,7.4,6,10.4,3.8,11.5
2009-02-01,21.4,11.5,8.9,9.1,7.1,6.7,10.8,4.1,11.4
2009-03-01,21.1,12.2,9,9,7.8,6.8,11.4,4.5,11.6
2009-04-01,18.7,12.4,9,9,10.1,6,10.4,4.6,10.2
2009-05-01,19.2,12.6,9,8.5,9.5,5.7,10.9,4.9,11.9
2009-06-01,17.4,12.6,9.1,8.4,11.1,5.5,11.3,6.1,12.1
2009-07-01,18.2,12.4,9,8.8,11.5,6.1,10.9,6.1,11.2
2009-08-01,16.5,11.8,8.8,9.8,10.7,6,11,6,12
2009-09-01,17.1,11.9,9,9.5,11.2,7.1,11.3,6,11.4
2009-10-01,18.7,12.2,9.6,8.6,8.2,7,10.3,6,12.4
2009-11-01,19.4,12.5,9.2,8.5,7.6,6.7,10.6,5.5,11.9
2009-12-01,22.7,11.9,9.1,9,8.5,7.2,10.3,5.6,12.6
2010-01-01,24.7,13,10.5,11.3,10,6.6,11.1,5.5,14.2
2010-02-01,27.1,12.1,10,10.5,10,7.5,12,5.6,12.7
