"","ST","DATE","UR","State","Crisis","Months"
"1","AK",2008-01-01,6.2,"Alaska","Subprime mortgage",0
"2","AK",2008-04-01,6.3,"Alaska","Subprime mortgage",3
"3","AK",2008-05-01,6.4,"Alaska","Subprime mortgage",4
"4","AK",2008-06-01,6.5,"Alaska","Subprime mortgage",5
"5","AK",2008-07-01,6.5,"Alaska","Subprime mortgage",6
"6","AK",2008-08-01,6.5,"Alaska","Subprime mortgage",7
"7","AK",2008-09-01,6.6,"Alaska","Subprime mortgage",8
"8","AK",2008-10-01,6.6,"Alaska","Subprime mortgage",9
"9","AK",2008-11-01,6.7,"Alaska","Subprime mortgage",10
"10","AK",2008-12-01,6.9,"Alaska","Subprime mortgage",11
"11","AK",2009-01-01,7.2,"Alaska","Subprime mortgage",12
"12","AK",2009-02-01,7.4,"Alaska","Subprime mortgage",13
"13","AK",2008-02-01,6.2,"Alaska","Subprime mortgage",1
"14","AK",2008-03-01,6.3,"Alaska","Subprime mortgage",2
"94","AK",2009-03-01,7.7,"Alaska","Subprime mortgage",14
"95","AK",2009-04-01,7.9,"Alaska","Subprime mortgage",15
"96","AK",2009-05-01,8,"Alaska","Subprime mortgage",16
"97","AK",2009-06-01,8.1,"Alaska","Subprime mortgage",17
"98","AK",2009-07-01,8.1,"Alaska","Subprime mortgage",18
"99","AK",2009-08-01,8.2,"Alaska","Subprime mortgage",19
"100","AK",2009-09-01,8.2,"Alaska","Subprime mortgage",20
"101","AK",2009-10-01,8.3,"Alaska","Subprime mortgage",21
"102","AK",2009-11-01,8.3,"Alaska","Subprime mortgage",22
"103","AK",2009-12-01,8.4,"Alaska","Subprime mortgage",23
"104","AK",2010-01-01,8.4,"Alaska","Subprime mortgage",24
"105","AK",2010-02-01,8.4,"Alaska","Subprime mortgage",25
"106","AK",2010-03-01,8.4,"Alaska","Subprime mortgage",26
"107","AK",2010-04-01,8.3,"Alaska","Subprime mortgage",27
"108","AK",2010-05-01,8.2,"Alaska","Subprime mortgage",28
"109","AK",2010-06-01,8,"Alaska","Subprime mortgage",29
"110","AK",2010-07-01,7.9,"Alaska","Subprime mortgage",30
"111","AK",2010-08-01,7.9,"Alaska","Subprime mortgage",31
"112","AK",2010-09-01,8,"Alaska","Subprime mortgage",32
"113","AK",2010-10-01,8,"Alaska","Subprime mortgage",33
"114","AK",2010-11-01,8.1,"Alaska","Subprime mortgage",34
"115","AK",2010-12-01,8,"Alaska","Subprime mortgage",35
"244","AL",2008-01-01,4.5,"Alabama","Subprime mortgage",0
"245","AL",2008-02-01,4.7,"Alabama","Subprime mortgage",1
"246","AL",2008-03-01,4.9,"Alabama","Subprime mortgage",2
"247","AL",2008-04-01,5.1,"Alabama","Subprime mortgage",3
"248","AL",2008-05-01,5.3,"Alabama","Subprime mortgage",4
"249","AL",2008-06-01,5.6,"Alabama","Subprime mortgage",5
"250","AL",2008-07-01,5.9,"Alabama","Subprime mortgage",6
