DATE,Women,Men
1/1/2008,4.8,5.2
2/1/2008,4.7,5
3/1/2008,5,5.2
4/1/2008,4.8,5.2
5/1/2008,5.2,5.6
6/1/2008,5.3,5.8
7/1/2008,5.3,6.2
8/1/2008,5.9,6.3
9/1/2008,5.5,6.7
10/1/2008,5.9,7.1
11/1/2008,6.2,7.4
12/1/2008,6.5,8
1/1/2009,7,8.6
2/1/2009,7.3,9.2
3/1/2009,7.6,9.7
4/1/2009,7.6,10.1
5/1/2009,8,10.6
6/1/2009,8.3,10.6
7/1/2009,8.3,10.5
8/1/2009,8.3,10.7
9/1/2009,8.5,10.9
10/1/2009,8.7,11.1
11/1/2009,8.6,11
12/1/2009,8.7,10.9
1/1/2010,8.4,11
2/1/2010,8.6,10.9
3/1/2010,8.7,10.9
4/1/2010,8.8,10.9
5/1/2010,8.8,10.4
6/1/2010,8.3,10.4
7/1/2010,8.5,10.3
8/1/2010,8.6,10.3
9/1/2010,8.6,10.2
10/1/2010,8.7,10.1
11/1/2010,9,10.5
12/1/2010,8.5,10
1/1/2011,8.5,9.7
2/1/2011,8.5,9.5
3/1/2011,8.4,9.5
4/1/2011,8.5,9.6
5/1/2011,8.5,9.5
6/1/2011,8.5,9.6
7/1/2011,8.4,9.5
8/1/2011,8.5,9.4
9/1/2011,8.7,9.3
10/1/2011,8.4,9.2
11/1/2011,8.3,8.9
12/1/2011,8.3,8.7
1/1/2012,8.2,8.4
2/1/2012,8.1,8.4
3/1/2012,8,8.4
4/1/2012,8,8.3
5/1/2012,7.9,8.4
6/1/2012,7.9,8.4
7/1/2012,8,8.3
8/1/2012,7.8,8.3
9/1/2012,7.6,8
10/1/2012,7.6,7.9
11/1/2012,7.6,7.9
12/1/2012,7.9,7.9
1/1/2013,7.8,8.2
2/1/2013,7.6,7.8
3/1/2013,7.5,7.6
4/1/2013,7.3,7.8
5/1/2013,7.1,7.9
6/1/2013,7.3,7.7
7/1/2013,6.8,7.7
8/1/2013,6.7,7.7
9/1/2013,6.7,7.7
10/1/2013,6.8,7.5
11/1/2013,6.7,7.2
12/1/2013,6.6,6.8
1/1/2014,6.3,6.8
2/1/2014,6.4,6.9
3/1/2014,6.6,6.7
4/1/2014,6.1,6.4
5/1/2014,6.2,6.4
6/1/2014,5.8,6.3
7/1/2014,6.1,6.2
8/1/2014,6,6.3
9/1/2014,6,5.9
10/1/2014,5.9,5.6
11/1/2014,5.8,5.9
12/1/2014,5.4,5.7
1/1/2015,5.5,5.8
2/1/2015,5.3,5.6
3/1/2015,5.3,5.6
4/1/2015,5.4,5.5
5/1/2015,5.5,5.7
6/1/2015,5.1,5.3
7/1/2015,5.2,5.2
8/1/2015,5,5.1
9/1/2015,5,5.1
10/1/2015,5,5.1
11/1/2015,5,5.2
12/1/2015,4.9,5.1
1/1/2016,4.9,4.8
2/1/2016,4.8,4.9
3/1/2016,5.1,4.9
4/1/2016,5,5.1
5/1/2016,4.8,4.8
6/1/2016,4.8,4.9
7/1/2016,4.5,5
8/1/2016,4.8,5
9/1/2016,4.8,5.1
10/1/2016,4.7,5
11/1/2016,4.6,4.9
12/1/2016,4.6,4.8
1/1/2017,4.7,4.7
2/1/2017,4.6,4.6
3/1/2017,4.3,4.5
4/1/2017,4.5,4.5
5/1/2017,4.5,4.3
6/1/2017,4.3,4.3
7/1/2017,4.1,4.3
8/1/2017,4.3,4.5
9/1/2017,4.2,4.3
10/1/2017,4,4.3
11/1/2017,4.1,4.3
12/1/2017,4.1,4.1
1/1/2018,4,4.1
2/1/2018,4.1,4
3/1/2018,4,4
4/1/2018,3.9,4.2
5/1/2018,3.7,4
6/1/2018,3.9,4.1
7/1/2018,3.8,3.8
8/1/2018,3.8,3.9
9/1/2018,3.6,3.8
10/1/2018,3.7,3.8
11/1/2018,3.8,3.7
12/1/2018,3.8,4
1/1/2019,3.9,4
2/1/2019,3.8,3.8
3/1/2019,3.7,3.9
4/1/2019,3.5,3.9
5/1/2019,3.6,3.7
6/1/2019,3.6,3.6
7/1/2019,3.6,3.7
8/1/2019,3.6,3.7
9/1/2019,3.3,3.6
10/1/2019,3.5,3.7
11/1/2019,3.6,3.6
12/1/2019,3.6,3.5
1/1/2020,3.5,3.5
2/1/2020,3.4,3.5
3/1/2020,4.4,4.4
4/1/2020,16.1,13.6
5/1/2020,14.5,12.2
6/1/2020,11.7,10.5
7/1/2020,10.6,9.8
8/1/2020,8.6,8.3
9/1/2020,8,7.7
10/1/2020,6.8,7
11/1/2020,6.4,6.9
12/1/2020,6.7,6.7
1/1/2021,6.3,6.4
2/1/2021,6.1,6.3
3/1/2021,5.9,6.2
4/1/2021,5.8,6.3
5/1/2021,5.5,6
6/1/2021,5.7,6
7/1/2021,5.2,5.6
8/1/2021,5,5.4
