DATE,LNU03032237,LNU03032238,LNU03032239,LNU03032240,LNU03032241,LNU03032242,LNU03032229,LNU03032231,LNU03032232,LNU03032233,LNU03032234,LNU03032235
1/1/2008,169,285,893,576,1176,264,6720,1099,837,454,383,1120
2/1/2008,193,323,866,562,1056,313,6564,1118,820,481,339,1007
3/1/2008,155,323,876,609,944,283,6480,1170,831,507,324,992
4/1/2008,143,324,736,551,874,251,5923,1057,796,505,291,919
5/1/2008,170,361,829,619,1074,275,6362,809,879,565,314,1049
6/1/2008,157,337,890,669,1154,322,6693,785,862,544,318,1160
7/1/2008,141,350,866,776,1172,352,7050,783,908,607,301,1329
8/1/2008,144,409,961,844,1122,412,7359,814,960,631,329,1366
9/1/2008,166,380,951,835,1029,374,7328,970,984,688,296,1277
10/1/2008,168,434,1052,797,1126,334,7641,1078,1007,616,390,1313
11/1/2008,173,494,992,748,1283,434,8264,1237,1144,729,415,1397
12/1/2008,219,540,1147,791,1210,367,9030,1438,1315,839,477,1535
1/1/2009,232,571,1445,792,1487,431,10787,1744,1711,1157,554,1794
2/1/2009,224,637,1512,847,1477,453,11469,2025,1822,1219,603,1847
3/1/2009,252,639,1597,931,1484,377,11685,1979,1912,1307,605,1852
4/1/2009,320,561,1448,964,1322,403,11222,1737,1968,1278,690,1833
5/1/2009,303,536,1514,1005,1599,476,11649,1768,2010,1320,690,1835
6/1/2009,347,513,1580,1267,1688,557,12024,1601,2010,1377,632,1863
7/1/2009,373,570,1531,1269,1600,490,11967,1687,1988,1379,609,1854
8/1/2009,358,566,1560,1239,1636,528,11729,1542,1866,1297,569,1794
9/1/2009,362,657,1596,1257,1469,462,11697,1594,1876,1280,596,1809
10/1/2009,261,646,1488,1280,1604,541,11929,1744,1884,1265,618,1919
11/1/2009,243,619,1514,1168,1524,491,11688,1780,1882,1219,663,1879
12/1/2009,256,665,1486,1183,1624,513,11997,2044,1747,1245,502,1851
1/1/2010,313,623,1614,1175,1804,609,13129,2194,1918,1318,600,2154
2/1/2010,300,708,1740,1200,1597,603,13142,2440,1814,1276,538,2071
3/1/2010,322,717,1785,1101,1571,517,12901,2251,1898,1289,608,2097
