DATE,ALUR,AKUR,GAUR,HIUR,IDUR,ILUR,INUR,IAUR,KSUR,KYUR,LAUR,MEUR
2008-01-01,4.5,6.2,5.5,3.1,3.1,5.6,4.8,3.700,4.300,5.3,4.1,4.6
2008-02-01,4.7,6.2,5.6,3.1,3.1,5.7,4.8,3.700,4.2,5.4,4.1,4.6
2008-03-01,4.9,6.3,5.8,3.2,3.2,5.8,4.9,3.7,4.2,5.5,4.1,4.7
2008-04-01,5.1,6.3,6.0,3.4,4.1,5.9,5.1,3.8,4.2,5.6,4.2,4.8
2008-05-01,5.3,6.4,6.2,3.6,4.7,6.1,5.3,3.9,4.3,5.9,4.3,4.9
2008-06-01,5.6,6.5,6.4,3.8,5.1,6.4,5.5,4.0,4.4,6.1,4.4,5.1
2008-07-01,5.9,6.5,6.6,4.0,5.4,6.6,5.8,4.1,4.5,6.4,4.6,5.3
2008-08-01,6.1,6.5,6.9,4.3,5.6,6.7,6.0,4.2,4.700,6.7,4.8,5.5
2008-09-01,6.5,6.6,7.4,4.5,5.9,6.9,6.4,4.4,4.8,7.1,5.0,5.7
2008-10-01,6.9,6.6,7.9,4.8,6.300,7.1,6.9,4.6,5.000,7.5,5.2,6.1
2008-11-01,7.3,6.7,8.3,5.1,6.7,7.4,7.5,4.9,5.2,8.1,5.5,6.5
2008-12-01,7.8,6.9,8.8,5.5,7.2,7.9,8.3,5.2,5.500,8.7,5.7,7.000
2009-01-01,8.4,7.2,9.2,5.9,7.6,8.4,9.0,5.6,5.800,9.4,6.0,7.5
2009-02-01,8.8,7.4,9.6,6.2,7.9,8.9,9.8,6.0,6.100,10.0,6.2,7.9
2009-03-01,9.3,7.7,10.0,6.5,8.2,9.4,10.3,6.3,6.5,10.6,6.5,8.3
2009-04-01,9.6,7.9,10.2,6.6,8.2,9.8,10.7,6.500,6.8,10.9,6.8,8.5
2009-05-01,9.9,8.0,10.4,6.7,8.9,10.0,10.8,6.600,7.000,11.1,6.9,8.5
2009-06-01,10.2,8.1,10.6,6.8,9.1,10.3,10.8,6.600,7.2,11.2,7.0,8.6
2009-07-01,10.4,8.1,10.7,6.8,9.1,10.4,10.7,6.600,7.2,11.2,7.0,8.5
2009-08-01,10.6,8.2,10.8,6.8,9.1,10.6,10.7,6.600,7.300,11.1,7.0,8.5
2009-09-01,10.8,8.2,10.8,6.9,9.1,10.8,10.6,6.500,7.2,11.0,7.0,8.5
2009-10-01,10.9,8.3,10.9,6.9,9.1,11.000,10.600,6.500,7.200,10.9,7.0,8.6
2009-11-01,11.0,8.3,10.9,6.9,9.1,11.2,10.6,6.5,7.200,10.9,7.0,8.6
2009-12-01,11.1,8.4,10.8,6.9,9.1,11.4,10.6,6.5,7.200,10.9,7.1,8.7
2010-01-01,11.1,8.4,10.8,6.9,9.1,11.4,10.7,6.5,7.200,10.9,7.1,8.7
2010-02-01,11.0,8.4,10.8,6.9,9.1,11.3,10.7,6.4,7.200,10.8,7.2,8.7
2010-03-01,10.9,8.4,10.8,6.9,9.0,11.2,10.6,6.3,7.1,10.7,7.3,8.7
2010-04-01,10.5,8.3,10.7,6.8,8.9,10.9,10.4,6.2,7.0,10.5,7.3,8.6
2010-05-01,10.3,8.2,10.6,6.8,8.8,10.7,10.3,6.1,6.9,10.3,7.4,8.5
2010-06-01,10.100,8.0,10.5,6.8,8.7,10.4,10.1,6.0,6.8,10.1,7.4,8.3
2010-07-01,10.1,7.9,10.5,6.8,8.6,10.2,10.0,6.0,6.8,10.0,7.6,8.3
2010-08-01,10.0,7.9,10.6,6.8,8.6,10.1,9.9,6.0,6.8,10.0,7.7,8.3
2010-09-01,10.1,8.0,10.6,6.8,8.6,10.0,9.8,6.0,6.8,10.000,7.8,8.3
2010-10-01,10.100,8.0,10.7,6.8,8.6,9.9,9.7,6.0,6.9,10.000,7.8,8.3
2010-11-01,10.200,8.1,10.7,6.8,8.6,9.8,9.5,6.0,6.9,10.000,7.8,8.2
2010-12-01,10.1,8.0,10.6,6.800,8.5,9.7,9.3,5.9,6.8,9.9,7.8,8.100
2011-01-01,10.1,8.0,10.5,6.8,8.5,9.6,9.1,5.9,6.8,9.800,7.8,8.1
2011-02-01,10.0,7.9,10.4,6.700,8.4,9.5,8.9,5.8,6.7,9.6,7.7,8.0
2011-03-01,9.9,7.8,10.3,6.700,8.4,9.5,8.8,5.7,6.6,9.5,7.6,7.9
2011-04-01,9.9,7.8,10.3,6.700,8.4,9.6,8.7,5.7,6.5,9.5,7.5,7.8
2011-05-01,9.8,7.7,10.3,6.8,8.3,9.8,8.8,5.7,6.4,9.5,7.4,7.8
2011-06-01,9.8,7.7,10.3,6.9,8.3,9.9,8.9,5.7,6.4,9.5,7.4,7.8
2011-07-01,9.7,7.7,10.2,7.0,8.2,10.0,9.1,5.7,6.3,9.5,7.4,7.8
2011-08-01,9.6,7.7,10.2,7.0,8.1,10.1,9.1,5.7,6.3,9.4,7.3,7.7
2011-09-01,9.4,7.7,10.1,7.0,8.0,10.0,9.1,5.6,6.3,9.3,7.3,7.6
2011-10-01,9.2,7.7,9.9,6.900,7.9,9.9,9.0,5.5,6.2,9.2,7.3,7.5
2011-11-01,8.9,7.6,9.8,6.8,7.8,9.7,8.8,5.5,6.1,9.0,7.3,7.4
2011-12-01,8.7,7.5,9.6,6.7,7.7,9.5,8.6,5.3,6.0,8.7,7.2,7.3
2012-01-01,8.5,7.5,9.5,6.6,7.7,9.3,8.4,5.2,5.9,8.5,7.1,7.2
2012-02-01,8.4,7.4,9.4,6.5,7.6,9.1,8.3,5.2,5.900,8.4,7.1,7.2
2012-03-01,8.4,7.4,9.3,6.4,7.6,9.0,8.2,5.1,5.8,8.2,7.0,7.2
2012-04-01,8.4,7.3,9.3,6.3,7.6,9.0,8.2,5.1,5.800,8.2,7.0,7.2
2012-05-01,8.4,7.3,9.2,6.2,7.5,9.0,8.2,5.1,5.8,8.2,6.9,7.3
2012-06-01,8.3,7.3,9.1,6.100,7.5,9.1,8.2,5.1,5.700,8.2,6.8,7.3
2012-07-01,8.200,7.2,9.0,5.9,7.4,9.0,8.2,5.1,5.7,8.200,6.7,7.2
2012-08-01,8.100,7.2,8.9,5.7,7.3,9.0,8.2,5.000,5.600,8.200,6.6,7.2
2012-09-01,7.900,7.1,8.8,5.5,7.2,9.0,8.2,5.000,5.6,8.1,6.5,7.2
2012-10-01,7.800,7.1,8.7,5.3,7.2,9.0,8.2,5.0,5.6,8.100,6.4,7.1
2012-11-01,7.8,7.1,8.7,5.2,7.1,9.000,8.2,4.900,5.6,8.100,6.5,7.1
2012-12-01,7.7,7.1,8.6,5.1,7.1,9.100,8.2,4.900,5.6,8.0,6.6,7.1
2013-01-01,7.6,7.1,8.6,5.0,7.0,9.2,8.2,4.900,5.6,8.0,6.7,7.100
2013-02-01,7.6,7.0,8.6,4.9,7.0,9.3,8.2,4.900,5.5,8.0,6.8,7.0
2013-03-01,7.5,7.0,8.5,4.9,7.0,9.3,8.1,4.9,5.5,8.0,6.8,7.0
2013-04-01,7.4,7.0,8.4,4.8,7.0,9.3,8.0,4.9,5.4,8.0,6.7,6.9
2013-05-01,7.3,7.0,8.3,4.7,7.0,9.2,7.8,4.8,5.4,8.0,6.7,6.8
2013-06-01,7.3,7.0,8.2,4.7,6.9,9.2,7.7,4.8,5.4,8.0,6.6,6.7
2013-07-01,7.2,7.0,8.1,4.7,6.9,9.2,7.5,4.700,5.3,8.0,6.5,6.7
2013-08-01,7.2,7.0,8.0,4.7,6.9,9.1,7.3,4.7,5.3,8.0,6.4,6.6
2013-09-01,7.2,7.0,7.9,4.7,6.9,9.0,7.1,4.6,5.2,7.9,6.2,6.5
2013-10-01,7.2,7.0,7.8,4.7,6.8,8.8,6.9,4.500,5.1,7.8,6.0,6.4
2013-11-01,7.2,6.9,7.7,4.7,6.4,8.7,6.7,4.5,5.0,7.7,5.9,6.3
2013-12-01,7.2,6.9,7.6,4.6,6.0,8.6,6.5,4.5,4.9,7.6,5.7,6.2
2014-01-01,7.2,6.9,7.5,4.6,5.6,8.4,6.4,4.4,4.8,7.500,5.6,6.1
2014-02-01,7.1,6.9,7.4,4.5,5.2,8.1,6.3,4.4,4.7,7.3,5.6,6.0
2014-03-01,7.1,6.9,7.4,4.4,4.9,7.9,6.2,4.4,4.7,7.200,5.7,5.9
2014-04-01,7.0,6.9,7.4,4.4,4.6,7.6,6.1,4.3,4.6,7.000,5.8,5.8
2014-05-01,6.9,6.9,7.3,4.4,4.5,7.4,6.1,4.3,4.6,6.7,6.0,5.7
2014-06-01,6.8,6.9,7.3,4.3,4.0,7.2,6.0,4.3,4.5,6.500,6.2,5.6
2014-07-01,6.7,6.8,7.2,4.2,4.0,7.0,5.9,4.2,4.5,6.3,6.4,5.5
2014-08-01,6.6,6.8,7.1,4.1,4.0,6.8,5.8,4.2,4.4,6.0,6.6,5.4
2014-09-01,6.5,6.7,7.0,4.1,4.0,6.6,5.8,4.2,4.4,5.9,6.7,5.3
2014-10-01,6.4,6.5,6.8,4.0,4.0,6.5,5.7,4.1,4.3,5.7,6.8,5.2
2014-11-01,6.3,6.4,6.7,3.9,3.9,6.3,5.6,4.0,4.3,5.5,6.8,5.2
2014-12-01,6.2,6.3,6.6,3.9,3.9,6.2,5.5,3.9,4.3,5.4,6.8,5.0
2015-01-01,6.1,6.2,6.5,3.8,3.8,6.1,5.4,3.9,4.3,5.3,6.8,4.9
2015-02-01,6.1,6.3,6.4,3.8,3.9,6.1,5.2,3.8,4.4,5.3,6.7,4.8
2015-03-01,6.1,6.3,6.3,3.7,3.9,6.0,5.1,3.8,4.4,5.3,6.6,4.7
2015-04-01,6.1,6.3,6.3,3.6,3.9,6.0,4.9,3.8,4.4,5.3,6.5,4.6
2015-05-01,6.1,6.3,6.2,3.5,3.9,6.0,4.8,3.7,4.3,5.2,6.4,4.5
2015-06-01,6.2,6.3,6.1,3.4,3.9,6.0,4.7,3.7,4.2,5.2,6.3,4.4
2015-07-01,6.2,6.2,6.0,3.3,3.9,5.9,4.6,3.6,4.1,5.2,6.1,4.3
2015-08-01,6.2,6.2,5.9,3.3,3.9,5.9,4.600,3.6,4.0,5.2,6.1,4.2
2015-09-01,6.1,6.2,5.9,3.2,3.9,5.9,4.5,3.6,4.0,5.2,6.000,4.1
2015-10-01,6.1,6.3,5.8,3.2,3.8,5.9,4.5,3.6,3.9,5.2,6.0,4.1
2015-11-01,6.1,6.3,5.8,3.1,3.8,6.0,4.5,3.6,3.9,5.2,6.0,4.0
2015-12-01,6.1,6.4,5.7,3.1,3.8,6.1,4.6,3.6,3.9,5.2,6.0,4.0
2016-01-01,6.1,6.4,5.7,3.0,3.8,6.2,4.6,3.6,3.9,5.2,6.0,4.0
2016-02-01,6.0,6.5,5.7,3.0,3.8,6.2,4.6,3.6,3.9,5.1,6.1,3.9
2016-03-01,6.0,6.5,5.6,3.0,3.7,6.2,4.6,3.6,3.9,5.1,6.1,3.9
2016-04-01,5.9,6.5,5.5,3.0,3.7,6.1,4.6,3.6,4.0,5.0,6.1,3.9
2016-05-01,5.9,6.6,5.4,3.0,3.7,6.0,4.5,3.6,4.0,4.9,6.1,3.8
2016-06-01,5.9,6.6,5.4,2.9,3.7,5.9,4.4,3.7,4.0,4.9,6.1,3.8
2016-07-01,5.9,6.6,5.4,2.9,3.7,5.8,4.4,3.6,4.1,4.9,6.1,3.8
2016-08-01,5.9,6.7,5.4,2.9,3.7,5.8,4.3,3.6,4.1,5.0,6.1,3.7
2016-09-01,5.9,6.7,5.4,2.8,3.6,5.7,4.2,3.6,4.1,5.0,6.1,3.7
2016-10-01,5.9,6.7,5.4,2.8,3.6,5.7,4.1,3.5,4.1,5.1,6.1,3.7
2016-11-01,5.8,6.7,5.4,2.7,3.6,5.6,4.1,3.5,4.1,5.1,6.0,3.6
2016-12-01,5.7,6.7,5.3,2.7,3.5,5.4,4.0,3.4,4.0,5.1,5.9,3.5
2017-01-01,5.5,6.6,5.2,2.6,3.4,5.3,3.8,3.4,3.9,5.1,5.8,3.5
2017-02-01,5.3,6.6,5.1,2.5,3.4,5.1,3.7,3.3,3.8,5.0,5.7,3.4
