DATE,NYUR,NCUR,NDUR,OHUR,OKUR,ORUR,PAUR,RIUR,SCUR,SDUR,TNUR,TXUR
2008-01-01,4.7,5.2,2.9,5.6,3.4,5.1,4.8,6.0,6.0,2.600,5.3,4.300
2008-02-01,4.8,5.2,2.8,5.6,3.3,5.1,4.8,6.2,6.0,2.600,5.4,4.300
2008-03-01,4.8,5.2,2.8,5.7,3.2,5.1,4.9,6.4,6.1,2.600,5.6,4.3
2008-04-01,4.9,5.3,2.9,5.9,3.2,5.2,4.9,6.6,6.3,2.700,5.8,4.400
2008-05-01,5.0,5.5,3.0,6.2,3.3,5.4,5.0,7.0,6.6,2.800,6.1,4.500
2008-06-01,5.2,5.7,3.100,6.4,3.4,5.7,5.1,7.3,6.9,2.900,6.4,4.7
2008-07-01,5.3,5.8,3.1,6.7,3.5,6.0,5.2,7.7,7.3,3.100,6.6,4.800
2008-08-01,5.5,6.0,3.200,6.9,3.6,6.4,5.4,8.0,7.6,3.200,6.8,5.0
2008-09-01,5.7,6.1,3.2,7.1,3.7,6.9,5.5,8.4,8.0,3.400,7.0,5.2
2008-10-01,6.0,6.3,3.3,7.3,3.9,7.4,5.8,8.7,8.4,3.500,7.3,5.4
2008-11-01,6.3,8.6,3.4,7.7,4.2,8.1,6.2,9.2,8.9,3.7,7.7,5.600
2008-12-01,6.7,9.6,3.6,8.1,4.700,8.9,6.6,9.700,9.4,3.9,8.2,5.9
2009-01-01,7.1,10.2,3.8,8.6,5.2,9.7,7.0,10.2,10.0,4.1,8.7,6.100
2009-02-01,7.5,10.8,3.9,9.1,5.7,10.5,7.4,10.7,10.5,4.4,9.2,6.300
2009-03-01,7.9,11.2,4.0,9.5,6.1,11.0,7.7,11.2,10.9,4.5,9.7,6.4
2009-04-01,8.1,11.4,4.0,9.9,6.5,11.3,8.0,11.4,11.2,4.7,10.1,6.5
2009-05-01,8.3,11.4,4.0,10.1,6.7,11.3,8.1,11.6,11.4,4.7,10.3,7.5
2009-06-01,8.5,11.3,3.9,10.2,6.9,11.2,8.2,11.6,11.5,4.7,10.4,8.0
2009-07-01,8.6,11.2,3.9,10.4,6.9,11.0,8.2,11.6,11.6,4.6,10.5,8.2
2009-08-01,8.7,11.0,3.9,10.5,6.9,10.8,8.2,11.6,11.8,4.6,10.5,8.3
2009-09-01,8.800,10.9,3.9,10.6,6.9,10.7,8.2,11.6,11.9,4.6,10.5,8.3
2009-10-01,8.9,10.900,3.9,10.800,6.900,10.6,8.2,11.7,12.0,4.6,10.5,8.3
2009-11-01,9.0,11.0,3.9,10.900,7.000,10.7,8.2,11.7,12.0,4.7,10.5,8.300
2009-12-01,9.0,11.1,3.9,11.1,7.0,10.7,8.3,11.8,12.1,4.8,10.500,8.300
2010-01-01,9.0,11.2,3.9,11.1,7.0,10.8,8.4,11.8,12.0,4.8,10.5,8.300
2010-02-01,9.0,11.2,3.9,11.1,6.9,10.900,8.5,11.9,11.8,4.9,10.4,8.300
2010-03-01,8.9,11.2,3.900,10.9,6.8,10.900,8.5,11.8,11.7,4.9,10.2,8.300
2010-04-01,8.8,11.0,3.8,10.7,6.7,10.9,8.4,11.8,11.5,4.9,10.0,8.200
2010-05-01,8.8,10.8,3.7,10.4,6.6,10.8,8.3,11.7,11.3,4.900,9.8,8.2
2010-06-01,8.7,10.6,3.7,10.2,6.4,10.7,8.1,11.6,11.2,4.900,9.6,8.1
2010-07-01,8.6,10.4,3.6,10.0,6.4,10.7,8.0,11.5,11.1,4.900,9.5,8.1
2010-08-01,8.6,10.4,3.6,9.9,6.3,10.6,8.0,11.5,11.1,4.900,9.5,8.1
2010-09-01,8.6,10.4,3.6,9.9,6.3,10.6,8.0,11.5,11.1,4.900,9.5,8.1
2010-10-01,8.6,10.4,3.6,9.8,6.3,10.6,8.0,11.5,11.0,4.900,9.6,8.2
2010-11-01,8.5,10.5,3.5,9.7,6.2,10.5,7.9,11.5,10.9,5.0,9.7,8.2
2010-12-01,8.5,10.5,3.5,9.5,6.1,10.3,7.9,11.4,10.9,5.000,9.6,8.2
2011-01-01,8.4,10.4,3.500,9.3,5.9,10.1,7.8,11.2,10.8,5.000,9.6,8.2
2011-02-01,8.3,10.3,3.4,9.100,5.8,9.8,7.7,11.1,10.7,4.9,9.5,8.2
2011-03-01,8.2,10.2,3.4,9.000,5.6,9.7,7.6,11.0,10.7,4.9,9.4,8.1
2011-04-01,8.2,10.2,3.4,9.000,5.6,9.6,7.6,11.0,10.7,4.8,9.3,8.1
2011-05-01,8.2,10.2,3.4,9.000,5.5,9.6,7.7,11.0,10.7,4.7,9.3,8.2
2011-06-01,8.3,10.3,3.4,9.0,5.5,9.7,7.8,11.0,10.7,4.6,9.2,8.3
2011-07-01,8.3,10.3,3.4,9.0,5.6,9.7,7.8,11.0,10.6,4.5,9.2,8.3
2011-08-01,8.4,10.4,3.4,8.9,5.6,9.6,7.9,11.0,10.5,4.5,9.1,8.2
2011-09-01,8.400,10.3,3.4,8.7,5.6,9.6,7.9,11.0,10.3,4.4,8.9,8.0
2011-10-01,8.5,10.2,3.3,8.500,5.5,9.4,7.8,11.0,10.1,4.4,8.8,7.8
2011-11-01,8.500,10.1,3.2,8.3,5.5,9.3,7.7,11.0,9.9,4.3,8.6,7.5
2011-12-01,8.6,9.9,3.1,8.000,5.4,9.2,7.6,10.9,9.7,4.2,8.4,7.3
2012-01-01,8.600,9.7,3.0,7.8,5.3,9.1,7.5,10.7,9.6,4.2,8.2,7.1
2012-02-01,8.600,9.6,2.9,7.7,5.1,9.0,7.5,10.6,9.5,4.1,8.1,7.0
2012-03-01,8.7,9.5,2.9,7.6,5.1,9.0,7.5,10.5,9.4,4.1,8.0,6.7
2012-04-01,8.8,9.5,2.9,7.5,5.1,8.9,7.6,10.5,9.4,4.1,8.0,6.8
2012-05-01,8.8,9.5,2.9,7.4,5.1,8.9,7.7,10.4,9.3,4.1,8.0,6.8
2012-06-01,8.8,9.5,2.9,7.300,5.1,8.9,7.7,10.4,9.2,4.1,8.0,6.8
2012-07-01,8.7,9.5,2.9,7.3,5.1,8.8,7.8,10.3,9.0,4.1,8.0,6.7
2012-08-01,8.6,9.5,2.9,7.200,5.1,8.700,7.8,10.1,8.8,4.1,7.9,6.6
2012-09-01,8.6,9.5,2.9,7.200,5.1,8.700,7.7,10.0,8.7,4.0,7.8,6.5
2012-10-01,8.5,9.5,3.0,7.2,5.1,8.6,7.7,9.8,8.6,4.0,7.8,6.5
2012-11-01,8.4,9.5,3.0,7.3,5.1,8.600,7.7,9.7,8.5,3.9,7.8,6.5
2012-12-01,8.4,9.4,3.0,7.4,5.1,8.5,7.7,9.6,8.4,3.9,7.9,6.5
2013-01-01,8.3,9.4,3.0,7.5,5.2,8.4,7.6,9.6,8.4,3.9,8.0,6.5
2013-02-01,8.2,9.1,3.0,7.6,5.2,8.3,7.5,9.5,8.3,3.8,8.0,6.6
2013-03-01,8.1,8.8,3.000,7.6,5.2,8.2,7.4,9.5,8.1,3.8,8.0,6.5
2013-04-01,8.0,8.5,2.9,7.6,5.2,8.0,7.3,9.5,7.9,3.8,8.0,6.5
2013-05-01,7.9,8.2,2.9,7.6,5.1,7.9,7.2,9.5,7.7,3.800,7.9,6.4
2013-06-01,7.9,7.8,2.900,7.6,5.1,7.8,7.1,9.6,7.5,3.7,7.9,6.4
2013-07-01,7.8,7.5,2.9,7.6,5.1,7.7,7.1,9.6,7.4,3.7,7.800,6.3
2013-08-01,7.8,7.3,2.9,7.6,5.1,7.6,7.0,9.6,7.2,3.700,7.7,6.3
2013-09-01,7.6,6.7,2.800,7.5,5.1,7.4,6.9,9.5,7.0,3.6,7.6,6.2
2013-10-01,7.5,6.6,2.8,7.3,5.1,7.3,6.8,9.4,6.8,3.6,7.4,6.1
2013-11-01,7.3,6.5,2.8,7.1,5.0,7.2,6.7,9.3,6.5,3.5,7.3,6.0
2013-12-01,7.1,6.4,2.8,6.9,5.0,7.2,6.6,9.1,6.3,3.5,7.1,5.8
2014-01-01,7.0,6.4,2.700,6.6,4.9,7.2,6.5,8.9,6.1,3.5,6.9,5.7
2014-02-01,6.8,6.3,2.700,6.4,4.7,7.1,6.4,8.7,6.0,3.4,6.8,5.6
2014-03-01,6.7,6.3,2.6,6.2,4.6,7.0,6.3,8.5,6.0,3.4,6.8,5.5
2014-04-01,6.5,6.3,2.6,6.0,4.5,6.9,6.2,8.3,6.0,3.4,6.7,5.4
2014-05-01,6.4,6.2,2.6,5.9,4.4,6.8,6.1,8.0,6.1,3.4,6.7,5.3
2014-06-01,6.3,6.2,2.6,5.8,4.3,6.7,6.0,7.8,6.2,3.3,6.7,5.2
2014-07-01,6.2,6.1,2.6,5.7,4.2,6.6,5.8,7.6,6.3,3.3,6.6,5.2
2014-08-01,6.1,6.1,2.6,5.6,4.2,6.5,5.7,7.4,6.5,3.300,6.6,5.1
2014-09-01,6.000,6.0,2.6,5.5,4.1,6.4,5.6,7.3,6.5,3.300,6.5,5.0
2014-10-01,5.9,5.9,2.6,5.4,4.1,6.3,5.6,7.1,6.6,3.3,6.4,4.9
