DATE,UTUR,VTUR,VAUR,WAUR,WVUR,WIUR,WYUR
2008-01-01,2.8,4.0,3.6,4.6,4.7,4.5,2.6
2008-02-01,2.9,4.1,3.7,4.6,4.6,4.4,2.6
2008-03-01,2.9,4.2,3.7,4.7,4.5,4.3,2.6
2008-04-01,3.0,4.2,3.9,4.8,4.4,4.4,2.6
2008-05-01,3.1,4.400,4.0,5.0,4.4,4.4,2.7
2008-06-01,3.2,4.500,4.1,5.2,4.4,4.6,2.8
2008-07-01,3.2,4.600,4.3,5.3,4.5,4.7,2.900
2008-08-01,3.3,4.700,4.4,5.4,4.5,4.9,3.0
2008-09-01,3.4,4.800,4.5,5.6,4.7,5.200,3.1
2008-10-01,3.5,4.9,4.7,5.8,5.0,5.6,3.2
2008-11-01,3.6,5.1,5.0,6.1,5.4,6.1,3.4
2008-12-01,5.2,5.3,5.4,6.4,5.9,6.7,3.7
2009-01-01,6.1,5.5,5.7,6.8,6.5,7.4,4.2
2009-02-01,6.5,5.7,6.1,7.2,7.1,8.1,4.8
2009-03-01,6.8,5.9,6.4,7.5,7.7,8.6,5.4
2009-04-01,7.0,6.1,6.6,7.8,8.1,9.0,5.9
2009-05-01,7.1,6.1,6.8,8.1,8.5,9.3,6.3
2009-06-01,7.3,6.2,6.9,8.3,8.7,9.4,6.5
2009-07-01,7.4,6.2,7.0,8.5,8.8,9.3,6.6
2009-08-01,7.6,6.3,7.1,8.7,8.8,9.3,6.7
2009-09-01,7.7,6.4,7.2,9.0,8.8,9.3,6.8
2009-10-01,7.8,6.5,7.3,9.0,8.8,9.2,7.1
2009-11-01,7.9,6.5,7.4,9.1,8.9,9.3,7.3
2009-12-01,7.9,6.6,7.5,9.2,8.9,9.3,7.5
2010-01-01,8.0,6.7,7.6,9.3,9.0,9.3,7.6
2010-02-01,8.0,6.6,7.6,9.3,8.9,9.2,7.6
2010-03-01,8.000,6.6,7.6,9.3,8.8,9.0,7.5
2010-04-01,8.000,6.5,7.5,9.2,8.7,8.8,7.2
2010-05-01,8.0,6.4,7.4,9.1,8.5,8.6,7.0
2010-06-01,7.900,6.3,7.3,9.0,8.5,8.4,6.8
2010-07-01,7.900,6.2,7.2,9.0,8.4,8.3,6.6
2010-08-01,7.9,6.1,7.2,9.1,8.5,8.2,6.6
2010-09-01,7.9,6.1,7.1,9.1,8.6,8.2,6.6
2010-10-01,7.9,6.1,7.1,9.1,8.6,8.1,6.6
2010-11-01,7.9,6.1,7.0,9.1,8.6,8.0,6.6
2010-12-01,7.8,6.1,6.9,9.0,8.5,7.9,6.6
2011-01-01,7.8,6.0,6.7,8.9,8.4,7.8,6.6
2011-02-01,7.7,5.9,6.6,8.8,8.3,7.7,6.5
2011-03-01,7.7,5.9,6.6,8.8,8.1,7.6,6.3
2011-04-01,7.7,5.8,6.5,8.7,8.0,7.6,6.2
2011-05-01,7.7,5.7,6.5,8.6,7.9,7.6,6.1
2011-06-01,7.7,5.7,6.6,8.6,7.8,7.6,6.0
2011-07-01,7.4,5.6,6.6,8.6,7.8,7.6,6.0
2011-08-01,7.0,5.5,6.6,8.5,7.8,7.6,6.0
2011-09-01,6.6,5.400,6.6,8.4,7.7,7.5,6.0
2011-10-01,6.2,5.2,6.5,8.3,7.5,7.4,6.0
2011-11-01,5.8,5.1,6.4,8.1,7.4,7.3,6.0
2011-12-01,5.4,5.0,6.3,8.0,7.2,7.1,5.9
2012-01-01,5.3,4.9,6.2,8.0,7.1,7.0,5.8
2012-02-01,4.7,4.9,6.2,7.9,7.0,6.9,5.7
2012-03-01,4.8,4.8,6.1,7.9,7.1,6.9,5.6
2012-04-01,4.8,4.9,6.1,7.9,7.2,7.0,5.6
2012-05-01,4.9,4.9,6.1,8.0,7.3,7.0,5.6
2012-06-01,4.8,4.9,6.0,8.0,7.4,7.0,5.6
2012-07-01,4.8,4.9,5.9,7.8,7.4,7.0,5.5
2012-08-01,4.7,4.8,5.9,7.6,7.4,6.9,5.5
2012-09-01,4.7,4.8,5.8,7.4,7.4,6.9,5.4
2012-10-01,4.6,4.7,5.7,7.2,7.3,6.8,5.3
2012-11-01,4.6,4.700,5.7,7.1,7.3,6.8,5.200
2012-12-01,4.6,4.6,5.7,6.9,7.2,6.900,5.2
2013-01-01,4.5,4.600,5.6,6.9,7.1,6.9,5.1
2013-02-01,4.4,4.6,5.6,6.7,6.9,6.9,5.0
2013-03-01,4.4,4.6,5.6,6.7,6.8,6.9,4.900
2013-04-01,4.3,4.5,5.6,6.7,6.7,6.9,4.800
2013-05-01,4.3,4.5,5.6,6.7,6.6,6.8,4.700
2013-06-01,4.2,4.5,5.6,6.7,6.6,6.7,4.7
2013-07-01,4.2,4.400,5.6,6.7,6.6,6.7,4.6
2013-08-01,4.2,4.4,5.6,6.7,6.6,6.600,4.600
2013-09-01,4.1,4.3,5.5,6.6,6.6,6.5,4.6
2013-10-01,4.0,4.3,5.5,6.5,6.7,6.4,4.6
2013-11-01,4.0,4.200,5.4,6.4,6.7,6.300,4.6
2013-12-01,3.9,4.1,5.4,6.3,6.7,6.1,4.6
2014-01-01,3.8,4.100,5.3,6.2,6.7,6.0,4.5
2014-02-01,3.7,4.0,5.3,6.1,6.7,5.9,4.4
2014-03-01,3.7,4.000,5.3,6.1,6.7,5.7,4.4
2014-04-01,3.6,4.000,5.3,6.0,6.6,5.6,4.4
2014-05-01,3.6,4.000,5.2,6.0,6.5,5.5,4.4
2014-06-01,3.6,4.0,5.2,5.9,6.5,5.4,4.4
2014-07-01,3.6,4.0,5.1,5.9,6.4,5.3,4.4
2014-08-01,3.6,4.0,5.1,5.9,6.4,5.1,4.4
2014-09-01,3.6,4.0,5.0,5.8,6.4,5.0,4.4
2014-10-01,3.6,4.0,4.9,5.8,6.4,5.0,4.3
2014-11-01,3.6,3.9,4.9,5.7,6.3,4.9,4.1
2014-12-01,3.6,3.9,4.8,5.7,6.4,4.8,4.0
2015-01-01,3.6,3.8,4.8,5.6,6.4,4.7,3.9
2015-02-01,3.5,3.7,4.7,5.5,6.5,4.7,3.9
2015-03-01,3.5,3.7,4.7,5.5,6.7,4.6,4.0
2015-04-01,3.5,3.6,4.6,5.4,6.8,4.6,4.1
2015-05-01,3.5,3.6,4.5,5.4,6.8,4.5,4.2
2015-06-01,3.5,3.5,4.4,5.4,6.8,4.4,4.2
2015-07-01,3.5,3.5,4.3,5.4,6.7,4.4,4.2
2015-08-01,3.5,3.5,4.2,5.4,6.6,4.3,4.2
2015-09-01,3.5,3.4,4.1,5.4,6.5,4.3,4.3
2015-10-01,3.5,3.4,4.1,5.4,6.4,4.2,4.3
2015-11-01,3.5,3.4,4.0,5.4,6.4,4.2,4.5
2015-12-01,3.5,3.3,4.0,5.4,6.4,4.2,4.7
2016-01-01,3.5,3.2,4.0,5.4,6.4,4.1,5.0
2016-02-01,3.5,3.2,3.9,5.4,6.3,4.1,5.3
2016-03-01,3.5,3.2,3.9,5.4,6.3,4.0,5.5
2016-04-01,3.4,3.1,3.9,5.3,6.2,4.0,5.7
2016-05-01,3.4,3.1,3.9,5.3,6.2,4.0,5.7
2016-06-01,3.4,3.1,4.0,5.3,6.2,3.9,5.6
2016-07-01,3.3,3.1,4.0,5.3,6.1,3.9,5.4
2016-08-01,3.3,3.1,4.1,5.2,6.1,3.9,5.3
2016-09-01,3.3,3.1,4.1,5.1,6.0,3.9,5.2
2016-10-01,3.2,3.1,4.1,5.1,5.9,3.8,5.2
2016-11-01,3.2,3.1,4.1,5.0,5.8,3.7,5.1
2016-12-01,3.2,3.1,4.0,4.9,5.6,3.6,5.0
2017-01-01,3.2,3.2,4.0,4.8,5.4,3.5,4.8
2017-02-01,3.2,3.2,3.9,4.7,5.3,3.4,4.6
2017-03-01,3.2,3.1,3.9,4.6,5.1,3.3,4.4
2017-04-01,3.2,3.1,3.8,4.5,5.1,3.3,4.2
2017-05-01,3.2,3.0,3.8,4.5,5.0,3.3,4.1
2017-06-01,3.2,3.0,3.7,4.6,5.1,3.3,4.1
2017-07-01,3.2,2.9,3.6,4.6,5.1,3.3,4.2
2017-08-01,3.1,2.9,3.6,4.6,5.2,3.3,4.2
2017-09-01,3.1,2.9,3.5,4.7,5.3,3.2,4.3
2017-10-01,3.1,2.9,3.5,4.7,5.3,3.2,4.3
2017-11-01,3.1,3.0,3.4,4.6,5.4,3.1,4.3
2017-12-01,3.1,3.0,3.3,4.6,5.4,3.0,4.2
2018-01-01,3.0,3.0,3.2,4.5,5.4,3.0,4.2
2018-02-01,3.0,3.0,3.1,4.4,5.4,3.0,4.1
2018-03-01,3.0,2.9,3.1,4.4,5.4,3.0,4.1
2018-04-01,2.9,2.9,3.0,4.3,5.4,3.0,4.0
2018-05-01,2.9,2.8,3.0,4.3,5.3,3.0,4.0
2018-06-01,2.9,2.7,2.9,4.3,5.2,3.0,4.0
2018-07-01,2.9,2.6,2.9,4.3,5.1,3.0,4.0
2018-08-01,2.9,2.5,2.8,4.3,5.0,3.0,4.0
2018-09-01,2.9,2.4,2.8,4.4,5.0,3.0,4.0
2018-10-01,2.9,2.3,2.8,4.4,5.0,3.0,4.0
2018-11-01,2.9,2.3,2.9,4.5,5.1,3.0,4.0
2018-12-01,2.8,2.3,2.9,4.5,5.1,3.1,3.9
2019-01-01,2.8,2.2,2.9,4.5,5.0,3.1,3.7
2019-02-01,2.7,2.2,2.9,4.5,5.0,3.1,3.6
2019-03-01,2.7,2.2,2.8,4.4,4.9,3.2,3.5
2019-04-01,2.6,2.2,2.8,4.3,4.8,3.2,3.5
2019-05-01,2.6,2.2,2.7,4.2,4.8,3.3,3.5
2019-06-01,2.5,2.2,2.6,4.1,4.8,3.3,3.6
2019-07-01,2.5,2.3,2.6,4.1,4.9,3.4,3.7
2019-08-01,2.5,2.3,2.6,4.1,4.9,3.4,3.8
2019-09-01,2.4,2.4,2.6,4.0,5.0,3.4,3.8
2019-10-01,2.4,2.5,2.5,3.9,4.9,3.3,3.9
2019-11-01,2.4,2.5,2.5,3.9,4.9,3.3,4.0
2019-12-01,2.4,2.5,2.5,3.9,4.9,3.3,4.2
2020-01-01,2.4,2.5,2.5,4.0,5.0,3.3,4.4
2020-02-01,2.5,2.5,2.5,4.1,5.1,3.3,4.8
2020-03-01,2.5,2.6,2.6,5.3,5.3,3.2,5.1
2020-04-01,10.1,14.8,11.3,16.3,15.6,14.8,5.5
2020-05-01,7.6,9.3,8.5,12.5,11.9,10.4,8.5
2020-06-01,6.3,7.7,8.8,10.8,10.5,8.6,7.4
2020-07-01,5.4,6.4,7.9,10.8,9.4,7.2,6.8
2020-08-01,4.8,5.4,7.0,9.1,8.5,6.1,6.2
2020-09-01,4.2,4.6,6.6,8.0,7.9,5.2,5.7
2020-10-01,3.8,4.0,6.1,7.0,7.4,4.8,5.4
2020-11-01,3.5,3.7,5.8,6.7,7.0,4.4,5.3
2020-12-01,3.3,3.5,5.6,6.3,6.7,4.0,5.2
2021-01-01,3.1,3.2,5.3,6.0,6.5,3.8,5.1
2021-02-01,3.0,3.0,5.2,5.6,6.2,3.8,5.3
2021-03-01,2.9,2.9,5.1,5.5,5.9,3.8,5.3
2021-04-01,2.8,2.9,4.7,5.4,5.8,3.9,5.4
2021-05-01,2.7,3.0,4.5,5.2,5.5,3.9,5.4
2021-06-01,2.7,3.1,4.3,5.2,5.3,3.9,5.4
2021-07-01,2.6,3.0,4.2,5.1,5.0,3.9,5.2
